,id,date,year_week,product_number,prod_category_1,prod_category_2,prod_category_3,prod_category_4,prod_category_5,prod_category_6,prod_category_7,specs,display_size,segment_1,segment_2,segment_3,setmana,sales_units,inventory_units
0,202119-6909,2021-05-15,202119,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,19,2.0,35.0
1,202120-6909,2021-05-22,202120,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,20,0.0,70.0
2,202121-6909,2021-05-29,202121,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,21,3.0,137.0
3,202122-6909,2021-06-05,202122,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,22,0.0,274.0
4,202123-6909,2021-06-12,202123,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,23,0.0,333.0
5,202124-6909,2021-06-19,202124,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,24,2.0,349.0
6,202125-6909,2021-06-26,202125,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,25,15.0,328.0
7,202126-6909,2021-07-03,202126,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,26,49.0,288.0
8,202127-6909,2021-07-10,202127,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,27,55.0,234.0
9,202128-6909,2021-07-17,202128,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,28,73.0,131.0
10,202129-6909,2021-07-24,202129,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,29,91.0,62.0
11,202130-6909,2021-07-31,202130,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,30,20.0,32.0
12,202131-6909,2021-08-07,202131,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,31,5.0,24.0
13,202132-6909,2021-08-14,202132,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,32,0.0,30.0
14,202133-6909,2021-08-21,202133,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,33,0.0,57.0
15,202134-6909,2021-08-28,202134,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,34,0.0,121.0
16,202135-6909,2021-09-04,202135,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,35,0.0,255.0
17,202136-6909,2021-09-11,202136,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,36,9.0,312.0
18,202137-6909,2021-09-18,202137,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,37,8.0,326.0
19,202138-6909,2021-09-25,202138,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,38,9.0,326.0
20,202139-6909,2021-10-02,202139,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,39,10.0,314.0
21,202140-6909,2021-10-09,202140,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,40,55.0,284.0
22,202141-6909,2021-10-16,202141,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,41,24.0,259.0
23,202142-6909,2021-10-23,202142,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,42,36.0,232.0
24,202143-6909,2021-10-30,202143,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,43,32.0,206.0
25,202144-6909,2021-11-06,202144,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,44,47.0,182.0
26,202146-6909,2021-11-20,202146,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,46,62.0,137.0
27,202147-6909,2021-11-27,202147,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,47,43.0,95.0
28,202148-6909,2021-12-04,202148,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,48,81.0,48.0
29,202149-6909,2021-12-11,202149,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,49,18.0,27.0
30,202150-6909,2021-12-18,202150,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,50,7.0,16.0
31,202151-6909,2021-12-25,202151,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,51,2.0,13.0
32,202152-6909,2022-01-01,202152,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,52,1.0,11.0
33,202201-6909,2022-01-08,202201,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,1,1.0,9.0
34,202202-6909,2022-01-15,202202,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,2,0.0,9.0
