embedding;gt;product_id
[-0.07581986 -1.0008311  -0.17027485 -0.30064806];35.0;6909
[-0.12546918 -0.99800307 -0.12940243 -0.32935148];70.0;6909
[-0.11825792 -0.99960494 -0.13386402 -0.32566485];137.0;6909
[-0.15743713 -0.9984799  -0.10203394 -0.3480346 ];274.0;6909
[-0.14252292 -0.9991128  -0.11403638 -0.3395455 ];333.0;6909
[-0.11050114 -0.99882174 -0.14105433 -0.32097375];349.0;6909
[-0.10222426 -0.9982085  -0.14996153 -0.3154445 ];328.0;6909
[-0.1478072  -0.99985963 -0.11150858 -0.34175694];288.0;6909
[-0.12074661 -1.0003418  -0.13272852 -0.32664618];234.0;6909
[-0.06458373 -1.0018915  -0.17836133 -0.29458365];131.0;6909
[-0.09042342 -1.0006416  -0.15836865 -0.30898055];62.0;6909
[-0.13572364 -1.0002     -0.12234232 -0.33444515];32.0;6909
[-0.13047086 -1.0003356  -0.12638485 -0.33153895];24.0;6909
[-0.14776422 -1.0011911  -0.11171618 -0.34153154];30.0;6909
[-0.12953715 -1.0014894  -0.12599316 -0.33136258];57.0;6909
[-0.0827933  -1.0027533  -0.16369566 -0.30479246];121.0;6909
[-0.08378299 -1.003088   -0.1630496  -0.30525765];255.0;6909
[-0.09510772 -1.0022708  -0.15417412 -0.3116399 ];312.0;6909
[-0.15822253 -1.0003145  -0.1034306  -0.3474737 ];326.0;6909
[-0.10534728 -1.0016162  -0.14628136 -0.31734854];326.0;6909
[-0.08290423 -1.0020221  -0.1639306  -0.30479524];314.0;6909
[-0.05856654 -1.0032561  -0.18268241 -0.2912616 ];284.0;6909
[-0.11757168 -1.0016599  -0.13653848 -0.3242128 ];259.0;6909
[-0.09167746 -1.0019393  -0.1577951  -0.3093846 ];232.0;6909
[-0.13615048 -1.0009036  -0.12189296 -0.33466023];206.0;6909
[-0.11468728 -1.0010006  -0.1396701  -0.32231846];182.0;6909
[-0.13922134 -0.9998927  -0.11906514 -0.33663952];137.0;6909
[-0.14482588 -0.9998114  -0.11473688 -0.33974025];95.0;6909
[-0.08851124 -0.9995389  -0.16018659 -0.30789503];48.0;6909
[-0.10632858 -0.9978386  -0.14630842 -0.31794217];27.0;6909
[-0.07590297 -1.0008066  -0.17021516 -0.30069453];16.0;6909
[-0.12408502 -0.99572784 -0.13392013 -0.32740968];13.0;6909
[-0.1083582  -0.99914116 -0.1452584  -0.31872395];11.0;6909
[-0.1251908  -0.99900395 -0.1305832  -0.32870704];9.0;6909
[-0.1003281  -0.99934894 -0.14970908 -0.31498381];9.0;6909
[-0.16428237 -0.9978321  -0.09896663 -0.35097378];12.0;6909
[-0.13766725 -0.99837685 -0.11980799 -0.33611673];13.0;6909
[-0.13229111 -0.99772173 -0.12411782 -0.3331502 ];18.0;6909
[-0.10694377 -0.99903125 -0.14440587 -0.3187446 ];18.0;6909
[-0.12464425 -0.9984406  -0.1312874  -0.32834616];12.0;6909
[-0.16452394 -0.9971647  -0.09974936 -0.35077876];5.0;6909
[-0.13378717 -0.9984099  -0.12533814 -0.33294272];2.0;6909
[-0.12167734 -0.9998087  -0.13533643 -0.32586023];1.0;6909
[-0.12693761 -0.9991186  -0.13224366 -0.3284367 ];1.0;6909
[-0.1277296  -0.9967016  -0.12973583 -0.3298818 ];1.0;6909
[-0.15457308 -0.99745154 -0.11031052 -0.34409055];0.0;6909
[-0.12246777 -0.99626684 -0.13627464 -0.326015  ];0.0;6909
[-0.11032665 -0.99877167 -0.14293733 -0.32017192];1.0;6909
[-0.10546833 -0.99823827 -0.14713597 -0.31736186];2.0;6909
[-0.1488981  -0.9973102  -0.11195618 -0.3420851 ];0.0;6909
[-0.06620947 -0.9990647  -0.17529868 -0.29649287];3.0;6909
[-0.12476271 -0.99821204 -0.12990993 -0.3289566 ];4.0;6909
[-0.1165541  -1.0001091  -0.13508794 -0.32471246];8.0;6909
[-0.1557749  -0.99897176 -0.10322803 -0.34710544];18.0;6909
[-0.14019576 -0.9998013  -0.11570808 -0.33824468];161.0;6909
[-0.10388647 -0.99771667 -0.14876747 -0.31637365];162.0;6909
[-0.14830586 -0.99971205 -0.11115035 -0.34203568];88.0;6909
[-0.12095438 -1.0002804  -0.13257924 -0.32676232];37.0;6909
[-0.06549795 -1.001621   -0.17770459 -0.2950947 ];30.0;6909
[-0.09129608 -1.0003834  -0.15774176 -0.3094684 ];38.0;6909
[-0.13530809 -1.000323   -0.12264085 -0.33421287];70.0;6909
[-0.1312604  -1.0001019  -0.12581766 -0.33198032];94.0;6909
[-0.1474318  -1.0012896  -0.11195502 -0.34134573];96.0;6909
[-0.1295787  -1.0014771  -0.12596333 -0.3313858 ];104.0;6909
[-0.0830842  -1.0026672  -0.1634867  -0.30495507];65.0;6909
[-0.08502969 -1.0027192  -0.16215403 -0.30595452];57.0;6909
[-0.09519082 -1.0022463  -0.15411443 -0.31168637];47.0;6909
[-0.16034189 -0.99968743 -0.10190812 -0.34865838];57.0;6909
[-0.10526413 -1.0016408  -0.14634106 -0.31730208];79.0;6909
[-0.08315361 -1.0019484  -0.1637515  -0.3049346 ];145.0;6909
[-0.05478495 -1.0043749  -0.18539897 -0.2891478 ];77.0;6909
[-0.11773786 -1.0016106  -0.13641909 -0.3243057 ];31.0;6909
[-0.09022301 -1.0023698  -0.15883994 -0.3085716 ];24.0;6909
[-0.13615048 -1.0009036  -0.12189296 -0.33466023];22.0;6909
[-0.11535217 -1.000804   -0.13919246 -0.32269013];35.0;6909
[-0.14150688 -0.99921644 -0.11742333 -0.33791712];51.0;6909
[-0.14486744 -0.99979913 -0.11470702 -0.3397635 ];26.0;6909
[-0.1166212  -0.9989217  -0.13689825 -0.32410938];33.0;6909
[-0.08838655 -0.9995758  -0.16027617 -0.30782536];55.0;6909
[-0.10632858 -0.9978386  -0.14630842 -0.31794217];77.0;6909
[-0.06641723 -0.99900323 -0.17514941 -0.296609  ];128.0;6909
[-0.10891046 -1.0003446  -0.14215714 -0.31999743];85.0;6909
[-0.11818406 -0.9974736  -0.13815913 -0.32411116];106.0;6909
[-0.10702842 -0.9995346  -0.14621368 -0.31798062];33.0;6909
[-0.1251908  -0.99900395 -0.1305832  -0.32870704];53.0;6909
[-0.1003281  -0.99934894 -0.14970908 -0.31498381];6.0;6909
[-0.16104102 -0.9987911  -0.10129511 -0.34916192];42.0;6909
[-0.13766725 -0.99837685 -0.11980799 -0.33611673];1.0;6909
[-0.13195863 -0.99782    -0.12435663 -0.33296436];37.0;6909
[-0.10449196 -0.99975663 -0.14616716 -0.31737408];32.0;6909
[-0.12460269 -0.9984529  -0.13131726 -0.32832292];25.0;6909
[-0.1644824  -0.997177   -0.09977922 -0.3507555 ];27.0;6909
[-0.13312227 -0.9986066  -0.12581578 -0.33257106];40.0;6909
[-0.12159427 -0.9998333  -0.13539615 -0.32581377];32.0;6909
[-0.1264805  -0.9992539  -0.13257205 -0.3281812 ];38.0;6909
[-0.12760493 -0.9967385  -0.12982538 -0.32981208];46.0;6909
[-0.1537835  -0.99768513 -0.11087775 -0.34364918];109.0;6909
[-0.1219691  -0.99641436 -0.13663286 -0.32573625];159.0;6909
[-0.10924622 -0.9990913  -0.14371347 -0.31956798];113.0;6909
[-0.10517746 -0.99832433 -0.14734495 -0.31719926];90.0;6909
[-0.14864875 -0.99738395 -0.11213532 -0.3419457 ];88.0;6909
[ 1.0415217  -0.9762191   0.6776275   0.44019935];17.0;7896
[ 0.99516803 -0.973414    0.7176767   0.41493604];31.0;7896
[ 0.9994677  -0.9739024   0.7157156   0.41741833];64.0;7896
[ 0.9622926 -0.9717768  0.7486903  0.3988432];55.0;7896
[ 0.9753967  -0.9723379   0.73723596  0.40554187];49.0;7896
[ 1.0054215  -0.9719843   0.7107958   0.42211094];71.0;7896
[ 1.014365   -0.9716936   0.7012066   0.42780253];93.0;7896
[ 0.9687508  -0.9722604   0.74142545  0.40327665];62.0;7896
[ 0.9973379  -0.97401065  0.71778494  0.41787073];69.0;7896
[ 1.0511147  -0.9762123   0.6716638   0.44632038];33.0;7896
[ 1.0251492  -0.97427684  0.6927983   0.4329414 ];17.0;7896
[ 0.9834686  -0.9738504   0.7279369   0.41127202];12.0;7896
[ 0.98923963 -0.9745991   0.722776    0.4136959 ];16.0;7896
[ 0.9706901 -0.9742006  0.7397786  0.4044825];31.0;7896
[ 0.98841554 -0.9754023   0.72415584  0.41260555];38.0;7896
[ 1.0351645  -0.9779547   0.68436235  0.43701842];68.0;7896
[ 1.0330442  -0.9778517   0.6859881   0.43609473];140.0;7896
[ 1.0251172  -0.9782012   0.692161    0.43134078];164.0;7896
[ 0.95875996 -0.972943    0.7490329   0.397626  ];130.0;7896
[ 1.0153577  -0.9774857   0.70003766  0.426241  ];171.0;7896
[ 1.034087   -0.9767106   0.6851899   0.43685654];153.0;7896
[ 1.0588294  -0.97875005  0.66503507  0.44946536];91.0;7896
[ 1.0003343  -0.975836    0.71319455  0.419264  ];82.0;7896
[ 1.0253129  -0.97597915  0.69237775  0.43335494];75.0;7896
[ 0.98010045 -0.9736551   0.7305457   0.40946105];43.0;7896
[ 1.0034523  -0.97568583  0.7091817   0.42055085];38.0;7896
[ 0.9771493  -0.97295594  0.73283917  0.4070846 ];55.0;7896
[ 0.9733352  -0.97300214  0.7365336   0.40565982];57.0;7896
[ 1.0292805  -0.97390884  0.6892596   0.43513623];0.0;7896
[ 1.0117269  -0.9719811   0.7034437   0.42574915];24.0;7896
[ 1.0426085 -0.9767813  0.6764564  0.4404029];34.0;7896
[ 0.99427825 -0.97042906  0.7148523   0.41566887];21.0;7896
[ 1.0092195 -0.9738584  0.7036757  0.4234986];16.0;7896
[ 0.99257773 -0.97357035  0.71854967  0.41396978];22.0;7896
[ 1.0175946  -0.9746503   0.6981954   0.42662242];42.0;7896
[ 0.9538812  -0.97114605  0.7521035   0.39422217];60.0;7896
[ 0.98046845 -0.9726825   0.72966045  0.40738544];116.0;7896
[ 0.985833   -0.9721903   0.72508925  0.41006646];118.0;7896
[ 1.0109222  -0.9738421   0.7043075   0.42362502];136.0;7896
[ 0.9942177  -0.97289896  0.71776026  0.41566643];180.0;7896
[ 0.9556058  -0.9708894   0.75018543  0.39580294];91.0;7896
[ 0.98433167 -0.9714599   0.7261706   0.4126489 ];51.0;7896
[ 0.9964345  -0.97326934  0.71550816  0.41903505];43.0;7896
[ 0.9913041  -0.9723411   0.7189562   0.41699508];61.0;7896
[ 0.9905531  -0.96967745  0.7218544   0.41600725];55.0;7896
[ 0.96396    -0.9703675   0.74131685  0.40216354];84.0;7896
[ 0.9957587  -0.96966296  0.7146475   0.4191095 ];76.0;7896
[ 1.0074869  -0.97294927  0.70681554  0.42320517];115.0;7896
[ 1.012453   -0.97250104  0.7024532   0.42598602];121.0;7896
[ 0.970298   -0.970298    0.73939663  0.40474817];97.0;7896
[ 1.0515336  -0.97409433  0.6730892   0.44537982];55.0;7896
[ 0.99311095 -0.9723497   0.7198934   0.41455063];48.0;7896
[ 0.9990019  -0.9736614   0.71621746  0.41733095];62.0;7896
[ 0.96155506 -0.9713953   0.7494851   0.39870504];115.0;7896
[ 0.9761341 -0.9727194  0.7364413  0.4056801];91.0;7896
[ 1.01518    -0.9721152   0.7003283   0.42795512];121.0;7896
[ 0.9696047 -0.9727022  0.7405054  0.4034367];167.0;7896
[ 1.0005983  -0.9756972   0.7142717   0.41848144];14.0;7896
[ 1.0515028  -0.9764131   0.6712455   0.44639304];30.0;7896
[ 1.0259255  -0.97467834  0.69196194  0.43308684];66.0;7896
[ 0.982964   -0.97358936  0.7284805   0.4111775 ];139.0;7896
[ 0.98656136 -0.97321373  0.72566193  0.41319415];181.0;7896
[ 0.972398   -0.975084    0.73793834  0.40480247];154.0;7896
[ 0.9884544  -0.97542244  0.7241139   0.4126127 ];92.0;7896
[ 1.0349315  -0.9778343   0.68461317  0.43697485];40.0;7896
[ 1.0325785  -0.9776107   0.68649     0.43600753];65.0;7896
[ 1.0226717 -0.9769362  0.6947959  0.4308826];85.0;7896
[ 0.9580224  -0.9725614   0.74982756  0.39748785];102.0;7896
[ 1.0123302  -0.97591954  0.70329994  0.42567387];80.0;7896
[ 1.0338154  -0.97657007  0.6854827   0.43680558];92.0;7896
[ 1.0592176  -0.9789509   0.66461676  0.44953808];65.0;7896
[ 1.0010717  -0.9762176   0.7124      0.41940203];14.0;7896
[ 1.0254681  -0.9760594   0.6922105   0.43338397];97.0;7896
[ 0.9808379  -0.9740365   0.72975105  0.40959916];179.0;7896
[ 1.0021327 -0.9750032  0.7106039  0.4203036];133.0;7896
[ 0.9765282  -0.9726347   0.7335083   0.40696827];258.0;7896
[ 0.9734904  -0.97308254  0.73636633  0.40568885];165.0;7896
[ 1.0015478  -0.973393    0.71229345  0.4191499 ];294.0;7896
[ 1.0292805  -0.97390884  0.6892596   0.43513623];243.0;7896
[ 1.0115715  -0.97190076  0.7036111   0.42572013];196.0;7896
[ 1.0538237  -0.97527903  0.6706217   0.44580886];178.0;7896
[ 1.0100722 -0.9760235  0.7048821  0.4220942];150.0;7896
[ 0.9973448  -0.97201526  0.71154827  0.4162434 ];284.0;7896
[ 1.011005   -0.97478205  0.70175177  0.42383304];201.0;7896
