id,date,year_week,product_number,prod_category_1,prod_category_2,prod_category_3,prod_category_4,prod_category_5,prod_category_6,prod_category_7,specs,display_size,segment_1,segment_2,segment_3,setmana,sales_units,inventory_units
202119-6909,2021-05-15,202119,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,19,2.0,35.0
202120-6909,2021-05-22,202120,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,20,0.0,70.0
202121-6909,2021-05-29,202121,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,21,3.0,137.0
202122-6909,2021-06-05,202122,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,22,0.0,274.0
202123-6909,2021-06-12,202123,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,23,0.0,333.0
202124-6909,2021-06-19,202124,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,24,2.0,349.0
202125-6909,2021-06-26,202125,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,25,15.0,328.0
202126-6909,2021-07-03,202126,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,26,49.0,288.0
202127-6909,2021-07-10,202127,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,27,55.0,234.0
202128-6909,2021-07-17,202128,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,28,0.0,131.0
202129-6909,2021-07-24,202129,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,29,91.0,62.0
202130-6909,2021-07-31,202130,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,30,20.0,32.0
202131-6909,2021-08-07,202131,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,31,5.0,24.0
202132-6909,2021-08-14,202132,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,32,0.0,30.0
202133-6909,2021-08-21,202133,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,33,0.0,57.0
202134-6909,2021-08-28,202134,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,34,0.0,121.0
202135-6909,2021-09-04,202135,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,35,0.0,255.0
202136-6909,2021-09-11,202136,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,36,9.0,312.0
202137-6909,2021-09-18,202137,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,37,8.0,326.0
202138-6909,2021-09-25,202138,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,38,9.0,326.0
202139-6909,2021-10-02,202139,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,39,10.0,314.0
202140-6909,2021-10-09,202140,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,40,55.0,284.0
202141-6909,2021-10-16,202141,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,41,24.0,259.0
202142-6909,2021-10-23,202142,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,42,36.0,232.0
202143-6909,2021-10-30,202143,6909,1,0,0,0,0,0,0,1,13.3,1,0,0,43,32.0,206.0
