iter	RMSE
0	67.03538577
1	64.18775792
2	62.36851894
3	60.91640212
4	59.65869125
5	58.77164861
6	58.03999364
7	57.41144488
8	56.64425237
9	56.07278609
10	55.44180608
11	54.85883037
12	54.60363728
13	54.08140926
14	53.70282422
15	53.46052782
16	53.11828769
17	52.64937279
18	52.35968048
19	52.14925534
20	51.8579817
21	51.54034373
22	51.17513839
23	51.01690464
24	50.6574901
25	50.30841349
26	49.97488557
27	49.76726677
28	49.57119455
29	49.36698905
30	49.08873945
31	48.65148099
32	48.41005638
33	48.14275196
34	47.89753449
35	47.69556431
36	47.44085871
37	47.22091758
38	47.04901765
39	46.88128825
40	46.59885997
41	46.28933368
42	46.12657729
43	45.90646616
44	45.72423162
45	45.46941726
46	45.28381547	47	45.0916048	448	44.8867549	449	44.6637850	450	44.565651	4451	44.461752	4452	44.275553	4353	44.122854	4354	43.960155	4355	43.760256	4356	43.599757	43.11246378
58	42.9182764
59	42.73819762
60	42.62250551
61	42.37065506
62	42.20464447
63	42.08513742
64	41.94158167
65	41.71814713
66	41.57402346
67	41.37479175
68	41.12294026
69	41.0216918
70	40.85398066
71	40.66450829
72	40.45072199
73	40.34443321
74	40.21694841
75	40.03601345
76	39.96251006
77	39.79286
78	39.55813251
79	39.50350167
80	39.33933828
81	39.19631738
82	39.07923905
83	38.91904856
84	38.71306901
85	38.66081074
86	38.53445761
87	38.44184918
88	38.3124107
89	38.21730138
90	38.05447771
91	37.9932918
92	37.87151504
93	37.79009691
94	37.66975681
95	37.5322083
96	37.39133576
97	37.29882571
98	37.14067539
99	36.9928184
.31441219
