iter	Passed	Remaining
0	5	566
1	396	19433
2	587	19004
3	1077	25868
4	1444	27445
5	1479	23172
6	1763	23433
7	2096	24109
8	2396	24232
9	2712	24409
10	2990	24193
11	3417	25058
12	3863	25858
13	4203	25821
14	4533	25687
15	4875	25596
16	5218	25477
17	5220	23781
18	5390	22979
19	5392	21568
20	5701	21448
21	5703	20220
22	5705	19100
23	6035	19113
24	6381	19144
25	6732	19161
26	6735	18210
27	7066	18170
28	7389	18091
29	7693	17950
30	8022	17856
31	8309	17657
32	8310	16872
33	8489	16479
34	8491	15769
35	8806	15656
36	9109	15510
37	9404	15343
38	9681	15142
39	9682	14523
40	9963	14338
41	10248	14152
42	10531	13959
43	10533	13406
44	10812	13215
45	11088	13017
46	11378	12831
47	11655	12626
48	11937	12424
49	12214	12214
50	12491	12001
51	12772	11789
52	13049	11572
53	13324	11350
54	13604	11131
55	13876	10903
56	14169	10689
57	14447	10462
58	14729	10236
59	15004	10002
60	15286	9773
61	15565	9540
62	15847	9307
63	16121	9068
64	16407	8834
65	16688	8596
66	16968	8357
67	17314	8148
68	17611	7912
69	17943	7690
70	18237	7449
71	18529	7206
72	18848	6971
73	19167	6734
74	19492	6497
75	19772	6243
76	20097	6003
77	20400	5754
78	20742	5513
79	21133	5283
80	21526	5049
81	21904	4808
82	22212	4549
83	22558	4296
84	22959	4051
85	23318	3796
86	23609	3527
87	23894	3258
88	24173	2987
89	24462	2718
90	24732	2446
91	25009	2174
92	25285	1903
93	25567	1631
94	25843	1360
95	26120	1088
96	26407	816
97	26683	544
98	26972	272
99	27256	0
